名称,1,2,流域,桥面高,桥底高,高差,桥长,桥宽
川主寺镇巴郎社区岷江北源桥梁28,370980.143,3629276.438,漳腊河岷江北源段,2978.24,2977.63,0.61,20.72,7.55
川主寺镇巴郎社区岷江北源桥梁27,370948.4039,3629196.879,漳腊河岷江北源段,2978.1646,2977.4362,0.73,18.09,7.92
川主寺镇巴郎社区岷江北源桥梁26,370987.9165,3629100.511,漳腊河岷江北源段,2976.6576,2976.3866,0.27,39.51,16.2
川主寺镇传子沟村岷江北源桥梁25,370731.6862,3628674.619,漳腊河岷江北源段,2972.8559,2972.5208,0.34,27.03,2.43
川主寺镇巴郎社区岷江北源桥梁24,370367.6885,3627620.717,漳腊河岷江北源段,2965.0871,2964.4836,0.60,11.42,3.25
川主寺镇元坝子村岷江北源桥梁17,370288.8215,3624160.212,漳腊河岷江北源段,2960.7356,2959.8526,0.88,33.68,11.59
川主寺镇元坝子村岷江北源桥梁14,370405.3324,3623374.77,漳腊河岷江北源段,2952.1123,2951.6451,0.47,47.95,11.96
十里回族乡大屯村岷江北源桥梁11,369960.1841,3622553.941,漳腊河岷江北源段,2916.6045,2916.1708,0.43,18.36,4.32
十里回族乡佑所屯村岷江北源桥梁08,369604.424,3620872.595,漳腊河岷江北源段,2923.2533,2922.7683,0.48,32.59,11.05
十里回族乡高屯子村岷江北源桥梁05,369548.4221,3620635.469,漳腊河岷江北源段,2922.7696,2922.2585,0.51,47.26,10.89
十里回族乡佑所屯村岷江北源桥梁04,368906.8567,3619065.79,漳腊河岷江北源段,2887.9977,2887.113,0.88,22.07,5.15
十里回族乡佑所屯村岷江北源桥梁03,368903.7925,3618986.407,漳腊河岷江北源段,2892.3478,2891.8536,0.49,50,6.23
十里回族乡火烧屯村岷江北源桥梁02,369087.389,3618701.306,漳腊河岷江北源段,2882.7254,2882.4102,0.32,24.51,3.72
十里回族乡火烧屯村岷江北源桥梁01,368844.906,3617864.21,漳腊河岷江北源段,2879.3771,2877.6082,1.77,23.28,4.2
