名称,1,2,流域,桥面高,桥底高,高差,桥长,桥宽
进安镇洋裕屯村岷江北源桥梁28,368926.5969,3617052.526,牟尼沟岷江北源段,2875.6944,2875.2932,0.4012,40.09,8.59
进安镇洋裕屯村岷江北源桥梁27,369069.9056,3616723.158,牟尼沟岷江北源段,2874.1579,2872.8595,1.2984,47.21,11.28
进安镇岷山一村岷江北源桥梁26,368996.9186,3616398.396,牟尼沟岷江北源段,2870.0255,2869.6345,0.391,51.05,19.26
进安镇岷山二村岷江北源桥梁25,369006.8599,3615884.57,牟尼沟岷江北源段,2869.584,2869.0552,0.5288,69.36,11.58
进安镇岷山二村岷江北源桥梁24,369094.0622,3615612.556,牟尼沟岷江北源段,2866.7572,2865.6731,1.0841,74.39,15.2
进安镇岷山二村新松桥桥梁23,368930.2941,3615341.769,牟尼沟岷江北源段,2862.0088,2860.6898,1.319,50.09,8.89
进安镇岷山一村映月桥桥梁22,368519.7099,3614151.245,牟尼沟岷江北源段,2852.3368,2852.0505,0.2863,49.36,14.22
进安镇南街村岷江北源桥梁21,368524.5982,3613720.447,牟尼沟岷江北源段,2848.669,2847.7983,0.8707,20.46,7.71
进安镇南街村古松桥桥梁18,368452.3976,3613571.985,牟尼沟岷江北源段,2848.1316,2847.7778,0.3538,26.66,8.21
进安镇南街村上游桥桥梁20,368211.5297,3613525.045,牟尼沟岷江北源段,2847.0303,2846.1804,0.8499,20.3,9.55
进安镇南街村岷江北源桥梁17,368038.5154,3613388.702,牟尼沟岷江北源段,2845.7667,2845.0049,0.7618,16.98,9.77
进安镇外城村岷江北源桥梁15,367722.842,3612098.649,牟尼沟岷江北源段,2839.4624,2839.1377,0.3247,25.14,14.08
青云镇红花屯村岷江北源桥梁14,367652.2267,3611117.344,牟尼沟岷江北源段,2836.0421,2835.2487,0.7934,67.49,19.48
青云镇雄山村岷江北源桥梁10,368983.5792,3608603.514,牟尼沟岷江北源段,2816.3532,2815.9383,0.4149,55.91,15.31
青云镇雄山村岷江北源桥梁09,369663.1063,3607402.187,牟尼沟岷江北源段,2811.9115,2811.6775,0.234,36.55,7.59
青云镇雄山村岷江北源桥梁07,369855.1798,3607206.442,牟尼沟岷江北源段,2807.3355,2805.0212,2.3143,36.52,7.29
青云镇雄山村岷江北源桥梁06,370007.426,3606592.257,牟尼沟岷江北源段,2794.796,2794.0689,0.7271,16.66,2.72
安宏乡云屯堡村岷江北源桥梁05,370165.7169,3605610.807,牟尼沟岷江北源段,2785.0931,2784.2204,0.8727,17.47,4.02
安宏乡云屯堡村岷江北源桥梁04,370272.2563,3605307.64,牟尼沟岷江北源段,2781.9978,2781.4146,0.5832,16.69,2.25
